city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
深圳,半刻科技,深圳市半刻信息科技有限公司,金融,南山区,"团队年轻,福利丰厚,前景无限好,发挥空间大",10k-20k,不限,数据分析岗,产品/需求/项目类,数据分析,"银行,数据挖掘,建模,sas",3242346,2017-09-15 14:20:28
深圳,天天看看,深圳天天看看信息技术有限公司,"移动互联网,文化娱乐",南山区,"老大请吃饭,有下午茶哦,学习机会多",15k-30k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,"数据挖掘,大数据,MySQL,hadoop,sql优化",3276273,2017-09-15 14:24:27
深圳,你我金融,深圳市你我金融信息服务股份有限公司,金融,南山区,"氛围好,福利多",10k-20k,3-5年,数据分析,产品/需求/项目类,数据分析,"大数据,SPSS,sas",3365617,2017-09-15 09:50:51
深圳,卷皮,深圳卷皮网络科技有限公司,电子商务,南山区,"浮动年终奖,福利待遇好,发展前景大",13k-25k,5-10年,资深数据分析师,产品/需求/项目类,数据分析,"电商,大数据,数据挖掘,SPSS",3198142,2017-09-15 14:31:41
深圳,盖威,深圳市盖威科技有限公司,金融,南山区,福利待遇好,15k-25k,5-10年,高级数据分析师,开发/测试/运维类,数据开发,"金融,大数据,数据挖掘",3456228,2017-09-15 13:39:26
深圳,HelloTalk,深圳市天创进科技有限公司,"移动互联网,教育",南山区,"天使A轮,下午茶,五险一金,无限零食",15k-25k,3-5年,数据分析师 - Data Analyst,产品/需求/项目类,数据分析,"大数据,数据挖掘",3197946,2017-09-06 20:07:38
深圳,佰仟金融,深圳市佰仟金融服务有限公司,金融,福田区,"福利待遇好,平台广阔,扁平管理",15k-30k,5-10年,数据分析师,产品/需求/项目类,数据分析,"金融,大数据",2771391,2017-08-22 10:56:07
深圳,众禄金融,深圳众禄金融控股股份有限公司,"移动互联网,金融",罗湖区,"新三板,金融公司,团队氛围",12k-24k,1-3年,数据分析师助理,产品/需求/项目类,数据分析,"BI,大数据,SPSS,sas",3123163,2017-09-15 09:14:42
深圳,富途证券,富途网络科技（深圳）有限公司,"移动互联网,金融",南山区,"腾讯系团队,扁平管理,节日利是,弹性工作",12k-20k,1-3年,数据分析师,开发/测试/运维类,数据开发,"金融,大数据,数据挖掘",3548325,2017-09-15 10:34:11
深圳,融数科技,融数科技（深圳）有限公司,"金融,移动互联网",南山区,"五险一金,带薪年假,福利补贴,绩效奖金",20k-30k,3-5年,数据分析师,产品/需求/项目类,数据分析,"银行,高级,大数据,数据挖掘,建模",3607840,2017-09-14 11:10:52
深圳,宇星科技,宇星科技发展（深圳）有限公司,"其他,硬件",南山区,年中大假及旅游、年度体检、五险一金,20K-30K,5-10年,大数据分析师,开发/测试/运维类,数据开发,,3398270,2017-09-15 17:11:09
深圳,蓝色光标SNK,北京思恩客广告有限公司,"移动互联网,游戏",南山区,"大平台,福利好",15k-25k,3-5年,数据分析经理,开发/测试/运维类,数据开发,"专家,总监,资深,高级,数据挖掘",3098717,2017-09-13 17:47:54
深圳,环球易购,深圳市环球易购电子商务有限公司,电子商务,南山区,上市公司 福利待遇优厚,6k-10k,3-5年,数据分析师,市场与销售,市场/营销,"电商,活动",1574129,2017-09-16 09:22:20
深圳,Klook 客路旅行,深圳市客路网络科技有限公司,"移动互联网,旅游",福田区,"国际化团队,前沿科技",15k-30k,5-10年,数据分析经理／高级数据分析师,开发/测试/运维类,数据开发,"电商,资深,数据挖掘,sas",3191086,2017-09-15 14:16:09
深圳,迅雷,深圳市迅雷网络技术有限公司,移动互联网,南山区,迅雷数据业务，挑战技术高度工作,12k-24k,3-5年,数据分析师,技术,DBA,,2485367,2017-09-15 10:59:49
深圳,美图公司,厦门美图之家科技有限公司,"移动互联网,硬件",南山区,十亿级用户，Geek氛围，火箭式成长,15k-25k,1-3年,数据分析师（大数据部门）-深圳,开发/测试/运维类,数据开发,"金融,数据挖掘",3404532,2017-09-15 09:51:11
深圳,数聚能源科技,深圳市数聚能源科技有限公司,"数据服务,移动互联网",罗湖区,有建模高手、股票期权、不打卡、领导nice!,12k-20k,1-3年,数据分析师,技术,后端开发,"大数据,数据挖掘,建模",498090,2017-09-16 16:19:39
深圳,卷皮,深圳卷皮网络科技有限公司,电子商务,南山区,"五险一金,浮动年终奖",13k-25k,3-5年,数据分析师/资深数据分析师,开发/测试/运维类,数据开发,"电商,大数据,数据挖掘,SPSS",3457563,2017-09-15 14:31:41
深圳,FORMAX金融圈,深圳福迈斯科技有限公司,"移动互联网,金融",南山区,"大平台,福利多,氛围好",15k-25k,3-5年,高级数据分析师,产品/需求/项目类,数据分析,"金融,业务运营,数据挖掘,SPSS",3179116,2017-09-15 14:01:45
深圳,优克联,深圳优克云联科技有限公司,移动互联网,南山区,五险一金,8k-15k,1-3年,数据分析,市场/商务/销售类,市场/营销,"调研,数据挖掘",3339448,2017-09-15 11:09:56
深圳,极光,深圳市和讯华谷信息技术有限公司,"移动互联网,数据服务",南山区,"数据量大,攻城狮氛围,牛人多,弹性工作",15k-25k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"广告营销,资深,数据挖掘",2857336,2017-09-14 10:36:32
深圳,Gridsum 国双,北京国双科技有限公司,数据服务,福田区,弹性工作制 发展空间大 氛围好 牛人多,8k-16k,3-5年,数据分析师,市场与销售,数据分析,商业,1714081,2017-09-15 09:47:29
深圳,环球易购,深圳市环球易购电子商务有限公司,电子商务,南山区,A股上市公司，实力雄厚，待遇好,12k-22k,3-5年,高级数据分析师,产品/需求/项目类,数据分析,,3019421,2017-09-16 09:22:20
深圳,土巴兔,深圳市彬讯科技有限公司,"移动互联网,O2O",南山区,"节日福利,五险一金,绩效奖金,带薪年假",15k-25k,3-5年,数据分析师（高级）,开发/测试/运维类,数据开发,"数据挖掘,大数据,SPSS",3415185,2017-09-15 16:09:29
深圳,OPPO,广东欧珀移动通信有限公司,移动互联网,南山区,核心事业群 千万级日活 氛围好 组织扁平,15k-30k,3-5年,高级数据分析工程师,技术,高端技术职位,大数据,1670801,2017-09-11 09:47:05
深圳,vivo,维沃移动通信有限公司,移动互联网,福田区,团队有激情，工作有挑战，付出有回报,10k-20k,3-5年,数据分析师,设计,用户研究,大数据,836794,2017-09-11 15:30:59
深圳,美图公司,厦门美图之家科技有限公司,"移动互联网,硬件",南山区,上市公司，十亿级用户，团队有趣,18k-30k,3-5年,数据分析师（美颜线）-深圳,开发/测试/运维类,数据开发,"金融,数据挖掘,SPSS,用户研究",3362855,2017-09-15 09:51:12
深圳,极光,深圳市和讯华谷信息技术有限公司,"移动互联网,数据服务",南山区,五险一金、年度14薪、工作餐、下午茶等,8k-15k,1-3年,数据分析师,技术,后端开发,,917502,2017-09-14 10:36:31
深圳,爱问医联,爱问医联科技（深圳）有限公司,"医疗健康,移动互联网",南山区,"高薪,爱问医生,微博平台",15k-30k,5-10年,高级数据分析师,产品/需求/项目类,数据分析,"总监,大数据,数据挖掘,SPSS,sas",3073140,2017-09-15 09:17:06
深圳,乐信,深圳乐信控股有限公司,移动互联网,南山区,"发展快,平台大",15k-25k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,"金融,高级,大数据,数据挖掘",2978080,2017-09-04 20:02:35
深圳,合时代,深圳合时代金融服务有限公司,金融,福田区,"互联网金融,专业团队,丰厚福利,晋升空间广",10k-15k,3-5年,数据分析师,开发/测试/运维类,数据开发,"高级,中级,数据挖掘,SPSS,sas",3448412,2017-09-15 09:29:07
深圳,Darma,深圳市大耳马科技有限公司,"移动互联网,医疗健康",南山区,"扁平管理,带薪年假",13k-26k,1-3年,数据分析师,产品/需求/项目类,数据分析,"高级,大数据,数据挖掘,建模",3277744,2017-09-01 10:43:53
深圳,平安讯科,深圳平安讯科技术有限公司,移动互联网,南山区,"大平台,福利好,领导好,大牛多",20k-40k,5-10年,数据分析专家,开发/测试/运维类,数据开发,"广告营销,数据挖掘,大数据,SPSS",3451730,2017-09-13 10:25:12
深圳,DJI大疆创新,深圳市大疆创新科技有限公司,"移动互联网,硬件",盐田区,年终奖丰厚、晋升空间大,15k-30k,不限,数据分析师,开发/测试/运维类,数据开发,"移动互联网,社交,用户研究",3348822,2017-09-13 11:47:25
深圳,丝路天地,深圳丝路天地电子商务有限公司,旅游,南山区,"氛围好,环境佳,团队优",10k-20k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,"资深,大数据,数据仓库,数据开发",3321678,2017-08-29 10:38:59
深圳,融金所,深圳前海融金所互联网金融服务有限公司,"金融,移动互联网",福田区,"绩效奖金,员工旅游,五险一金,年底奖金",8k-10k,1-3年,数据分析师,产品/需求/项目类,数据分析,"大数据,数据挖掘,SPSS",3364470,2017-09-13 10:21:25
深圳,前海硕极,深圳市前海硕极科技有限公司,移动互联网,南山区,"APP,O2O",12k-22k,3-5年,大数据分析师,开发/测试/运维类,数据开发,"资深,高级,数据挖掘",2871159,2017-09-12 11:27:45
深圳,乐信,深圳乐信控股有限公司,移动互联网,南山区,良好的氛围；快速成长的平台,20K-40K,3-5年,数据分析与挖掘,开发/测试/运维类,数据开发,"高级,中级,数据挖掘,机器学习,深度学习",3580216,2017-09-07 12:23:19
深圳,随手科技,深圳市随手科技有限公司,"移动互联网,金融",南山区,2.8亿用户，平台大，发展机会多,10k-20k,3-5年,数据分析师（流量增长方向）,产品/需求/项目类,数据分析,"大数据,数据挖掘,SPSS,用户研究",3540958,2017-09-16 16:00:26
深圳,票据宝pj.com,深圳市票据宝金融服务有限公司,金融,南山区,数据分析,15k-30k,不限,数据分析,开发/测试/运维类,数据开发,"金融,数据挖掘,建模,SPSS",3427651,2017-09-15 09:16:30
深圳,小鹿乱撞*坏男孩,北京魅动力教育咨询有限公司,移动互联网,南山区,"周末双休,定期团建,晋升空间大,五险一金",12k-20k,1-3年,数据分析师,开发/测试/运维类,数据开发,"广告营销,大数据,数据挖掘,SPSS",3232525,2017-09-05 12:34:46
深圳,众禄金融,深圳众禄金融控股股份有限公司,"移动互联网,金融",罗湖区,"新三板,年终奖,五险一金,项目奖金",10k-20k,1-3年,数据分析师助理,开发/测试/运维类,数据开发,大数据,2855369,2017-09-15 09:14:42
深圳,房多多,深圳市房多多网络科技有限公司,"移动互联网,O2O",南山区,大平台、大发展,12k-24k,3-5年,数据分析师,产品/需求/项目类,数据分析,"高级,数据挖掘,SQL,SPSS",3099766,2017-09-14 09:48:22
深圳,招联金融,招联消费金融有限公司,金融,南山区,初创公司，朝阳行业，广阔的发展空间,18k-28k,3-5年,数据分析工程师,技术,后端开发,大数据,422119,2017-09-07 08:42:47
深圳,华润置地,华润置地有限公司,其他,南山区,午餐/交通/通讯补助，年假，五险一金等,15k-25k,3-5年,数据分析工程师,开发/测试/运维类,数据开发,数据挖掘,3362052,2017-08-27 22:32:06
深圳,投哪网,深圳旺金金融信息服务有限公司,金融,福田区,"全硕士团队,专业型人才,领导重数据,团队氛围好",10k-20k,1-3年,数据分析师,产品/需求/项目类,数据分析,"资深,高级,大数据,BI",3168016,2017-09-14 13:33:07
深圳,文思海辉,文思海辉技术有限公司,"移动互联网,数据服务",南山区,"大平台,大项目,班车接送,六险一金",8k-10k,1-3年,数据分析,开发/测试/运维类,数据开发,SQL,3527294,2017-09-06 08:20:56
深圳,彩智慧,深圳彩智慧网络有限公司,"数据服务,移动互联网",南山区,"数据分析,数据挖掘",10k-20k,3-5年,数据分析师,开发/测试/运维类,数据开发,"金融,电商,数据挖掘,用户研究",3560450,2017-09-14 18:08:37
深圳,智道金服,智道金融服务（深圳）有限公司,"金融,数据服务",南山区,"周末双休,五险一金,发展空间大,工作氛围好",15k-25k,3-5年,Java工程师 - 数据分析Leader,开发/测试/运维类,数据开发,"金融,资深,数据挖掘,大数据,hadoop",2976803,2017-09-12 16:46:19
深圳,博实结,深圳市博实结科技有限公司,"移动互联网,企业服务",龙华新区,"五险一金,绩效奖金,员工旅游,节日福利",4k-5k,1-3年,数据分析专员,市场/商务/销售类,市场/营销,"财务,统计",3477273,2017-09-16 08:39:23
深圳,汇联基金,深圳前海汇联基金销售有限公司,"金融,移动互联网",南山区,"公司发展快,福利多,学习机会多,氛围好",12k-20k,5-10年,高级数据分析师,产品/需求/项目类,数据分析,"金融,大数据,SPSS,sas",3612298,2017-09-15 09:16:24
