city,公司简称,公司全称,所属行业,工作地点,职位特点,薪资,经验,职位名称,firstType,secondType,职位标签,positionId,createTime
上海,时趣social-touch,时趣互动（北京）科技有限公司,移动互联网,长宁区,弹性工作 免费咖啡 平台好 发展空间,10k-20k,3-5年,高级数据分析师,产品/需求/项目类,数据分析,"['大数据', '商业', 'sas', 'R']",3048531,2017-09-13 20:08:24
上海,PPTV聚力,上海聚力传媒技术有限公司,文化娱乐,浦东新区,五险一金 有商业医疗保险 带薪休假,15k-20k,5-10年,高级数据分析师,市场与销售,市场/营销,['大数据'],2038459,2017-09-15 10:23:56
上海,上海第一财经数据,上海第一财经数据科技有限公司,移动互联网,静安区,"补充公积金,弹性工作制,补充医疗,年终奖",7k-13k,1-3年,数据分析师—行研,产品/需求/项目类,数据分析,"['电商', '大数据', 'BI', '商业']",3389736,2017-09-15 09:59:02
上海,悠融资产,悠融资产管理（上海）有限公司,"移动互联网,金融",浦东新区,"带薪年假,节日福利",7k-12k,1-3年,风控/数据分析,金融类,风控,"['金融', 'SQL', 'SPSS', 'sas']",3014273,2017-09-15 09:18:15
上海,rupiahplus,上海印闪网络科技有限公司,"移动互联网,金融",徐汇区,"出国旅游,福利好,待遇好,氛围佳",15k-30k,不限,贷后数据分析专员,运营/编辑/客服,运营,"['银行', '风控', '统计', 'SPSS', 'sas']",3598670,2017-09-12 15:56:51
上海,轻轻家教,上海轻轻信息科技有限公司,"移动互联网,教育",浦东新区,"互联网教育,C+轮",10k-20k,1-3年,数据分析师,开发/测试/运维类,数据开发,"['数据挖掘', '大数据', '建模']",3535321,2017-09-15 11:11:13
上海,小红书,行吟信息科技（上海）有限公司,"生活服务,电子商务",黄浦区,福利待遇好,15k-30k,1-3年,数据分析师,运营,运营,['大数据'],2050861,2017-09-13 10:38:56
上海,饿了么,拉扎斯网络科技（上海）有限公司,移动互联网,普陀区,团队氛围好，发展前景大,15k-25k,3-5年,高级数据分析师/专家,市场/商务/销售类,市场/营销,['品牌营销'],3495351,2017-08-22 08:55:23
上海,Gridsum 国双,北京国双科技有限公司,数据服务,静安区,大数据上市公司 发展空间大 氛围好,8k-15k,3-5年,数据分析师 (上海),开发/测试/运维类,数据开发,"['大数据', '数据挖掘', 'SQL']",3014736,2017-09-13 13:23:44
上海,游族网络,上海游族信息技术有限公司,"移动互联网,游戏",徐汇区,上市游戏公司,9k-18k,1-3年,数据分析,开发/测试/运维类,数据开发,[],2798853,2017-09-15 11:31:49
上海,返利网,上海中彦信息科技有限公司,电子商务,徐汇区,吃饭停车回家 旅游股票医疗 返利为你准备好,30k-50k,5-10年,数据分析总监,技术,高端技术职位,['大数据'],2050126,2017-09-15 09:42:06
上海,云星数据,云星数据（深圳）有限公司,"医疗健康,数据服务",浦东新区,"数据分析,数据挖掘,精准营销",15k-25k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['数据挖掘', 'BI', 'SPSS']",3509081,2017-09-06 09:28:44
上海,易果生鲜,上海易果电子商务有限公司,电子商务,长宁区,"年终奖,绩效奖金,五险一金",6k-10k,不限,数据分析师,产品/需求/项目类,数据分析,['数据挖掘'],2672991,2017-09-15 13:36:13
上海,么么直播,上海星艾网络科技有限公司,"移动互联网,社交网络",闵行区,领导好、福利赞、发展迅猛,10k-20k,3-5年,高级数据分析师,开发/测试/运维类,数据开发,"['视频', '直播', '数据挖掘', 'SPSS']",3364746,2017-09-16 12:01:50
上海,挖财,杭州财米科技有限公司,"移动互联网,金融",浦东新区,五险一金、弹性工作、与牛人共舞,8k-10k,1-3年,初级数据分析师（wodlee）-上海-00938,市场/商务/销售类,销售,"['大数据', '数据挖掘', 'SPSS', 'sas', '业务分析']",3461301,2017-09-15 16:10:29
