1,霸王别姬,"主演：张国荣,张丰毅,巩俐",上映时间：1993-01-01(中国香港),9.6
2,肖申克的救赎,"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",上映时间：1994-10-14(美国),9.5
3,罗马假日,"主演：格利高利·派克,奥黛丽·赫本,埃迪·艾伯特",上映时间：1953-09-02(美国),9.1
4,这个杀手不太冷,"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",上映时间：1994-09-14(法国),9.5
5,泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",上映时间：1998-04-03,9.5
6,教父,"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩",上映时间：1972-03-24(美国),9.3
7,龙猫,"主演：日高法子,坂本千夏,糸井重里",上映时间：1988-04-16(日本),9.2
8,唐伯虎点秋香,"主演：周星驰,巩俐,郑佩佩",上映时间：1993-07-01(中国香港),9.2
9,千与千寻,"主演：柊瑠美,入野自由,夏木真理",上映时间：2001-07-20(日本),9.3
10,魂断蓝桥,"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",上映时间：1940-05-17(美国),9.2
11,喜剧之王,"主演：周星驰,莫文蔚,张柏芝",上映时间：1999-02-13(中国香港),9.2
12,天空之城,"主演：寺田农,鹫尾真知子,龟山助清",上映时间：1992,9.1
13,大闹天宫,"主演：邱岳峰,毕克,富润生",上映时间：1965-12-31,9.0
14,乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",上映时间：1939-12-15(美国),9.1
15,英雄本色,"主演：张国荣,周润发,狄龙",上映时间：1986-08-02(中国香港),9.2
16,剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",上映时间：1990-12-06(美国),8.8
17,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",上映时间：1993-12-15(美国),9.2
18,音乐之声,"主演：朱丽·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",上映时间：1965-03-02(美国),9.0
19,春光乍泄,"主演：张国荣,梁朝伟,张震",上映时间：1997-05-30(中国香港),9.2
20,黑客帝国,"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",上映时间：2000-01-14,9.0
